
info: Sep-17-2021 02:47:20: 	Server is running on port 3000...: [object Object]
error: Sep-17-2021 02:47:39: 	500 - Internal Server Error - secret or public key must be provided - /api/checkedToken - GET - ::1: [object Object]
error: Sep-17-2021 02:47:39: 	500 - Internal Server Error - secret or public key must be provided - /api/todoList - GET - ::1: [object Object]
error: Sep-17-2021 03:11:54: 	500 - Internal Server Error - secret or public key must be provided - /api/checkedToken - GET - ::1: [object Object]
error: Sep-17-2021 03:12:20: 	500 - Internal Server Error - secret or public key must be provided - /api/checkedToken - GET - ::1: [object Object]
error: Sep-17-2021 03:14:10: 	500 - Internal Server Error - secret or public key must be provided - /api/checkedToken - GET - ::1: [object Object]
error: Sep-17-2021 03:14:10: 	500 - Internal Server Error - secret or public key must be provided - /api/todoList - GET - ::1: [object Object]
info: Sep-17-2021 03:21:42: 	Server is running on port 3000...: [object Object]
error: Sep-17-2021 03:21:47: 	500 - Internal Server Error - secret or public key must be provided - /api/checkedToken - GET - ::1: [object Object]
error: Sep-17-2021 03:21:47: 	500 - Internal Server Error - secret or public key must be provided - /api/todoList - GET - ::1: [object Object]
error: Sep-17-2021 03:22:19: 	500 - Internal Server Error - secret or public key must be provided - /api/checkedToken - GET - ::1: [object Object]
info: Sep-17-2021 03:24:08: 	Server is running on port 3000...: [object Object]
error: Sep-17-2021 03:25:49: 	500 - Internal Server Error - Callback must be a function, got [object Object] - /api/todoList/613c25500640d624b44bd23e - PATCH - ::1: [object Object]
info: Sep-17-2021 03:27:24: 	Server is running on port 3000...: [object Object]
error: Sep-17-2021 03:28:37: 	500 - Internal Server Error - Callback must be a function, got [object Object] - /api/todoList/613c25500640d624b44bd23e - PATCH - ::1: [object Object]
info: Sep-17-2021 03:29:46: 	Server is running on port 3000...
error: Sep-17-2021 03:29:52: 	500 - Internal Server Error - Callback must be a function, got [object Object] - /api/todoList/613c25500640d624b44bd23e - PATCH - ::1
info: Sep-17-2021 03:30:38: 	Server is running on port 3000...
info: Sep-17-2021 03:30:41: 	Server is running on port 3000...
error: Sep-17-2021 03:30:43: 	500 - Internal Server Error - Callback must be a function, got [object Object] - /api/todoList/613c25500640d624b44bd23e - PATCH - ::1
info: Sep-17-2021 03:31:35: 	Server is running on port 3000...
error: Sep-17-2021 03:31:37: 	500 - Internal Server Error - Callback must be a function, got [object Object] - /api/todoList/613c25500640d624b44bd23e - PATCH - ::1
info: Sep-17-2021 03:34:18: 	Server is running on port 3000...
info: Sep-17-2021 03:34:52: 	Server is running on port 3000...
info: Sep-17-2021 03:34:57: 	Server is running on port 3000...
error: Sep-17-2021 03:54:40: 	500 - Internal Server Error - Callback must be a function, got [object Object] - /api/todoList/613c12cb42726121d0c8ad80 - PATCH - ::1
info: Sep-17-2021 04:03:43: 	Server is running on port 3000...
info: Sep-17-2021 04:08:48: 	Server is running on port 3000...
info: Sep-17-2021 11:03:30: 	Server is running on port 3000...
